=== Building ===
=== Running Abseil ===
=== Running Elastic Hash ===

=== Results Comparison (median of 10 runs, random keys) ===
gap = abseil_time / elastic_time (>1.0 = elastic wins)

n         load      ab_ins   ab_get   ab_del   ab_mis    el_ins   el_get   el_del   el_mis   ins_gap  get_gap  del_gap  mis_gap
--------------------------------------------------------------------------------------------------------------------------------------
16384     99            98       54       66       57       267      126       29      338     0.367    0.429    2.276    0.169
65536     99           413      127      151      135       795      321       75      941     0.519    0.396    2.013    0.143
262144    99          2203      638      701      613      3494     1488      396     4151     0.631    0.429    1.770    0.148
1048576   99         15037     8854     8155     5730     16627    10018     3720    19480     0.904    0.884    2.192    0.294
2097152   99         35321    22026    19672    15374     37310    28803    11166    45770     0.947    0.765    1.762    0.336
1048576   10          6878      702      727      523      3396      450      299      720     2.025    1.560    2.431    0.726
1048576   25          8329     2231     2011     1263      4456     1427      822     1815     1.869    1.563    2.446    0.696
1048576   50         10804     4614     4156     2671      5776     3054     1653     3564     1.870    1.511    2.514    0.749
1048576   75         13099     7148     6847     4221      7606     5243     2871     7723     1.722    1.363    2.385    0.547
1048576   90         14226     8313     7696     5075     11051     7568     3257    18085     1.287    1.098    2.363    0.281
